A2A,A1,hERG
0.73229593,0.8271444,0.42698228
0.5557628,0.54931754,0.32899374
0.74725604,0.7769585,0.39375913
0.78882575,0.77952343,0.29508728
0.48910356,0.49858907,0.36374623
0.77097166,0.8189534,0.38739628
0.690502,0.7602202,0.2587666
0.68477505,0.70656186,0.3936419
0.70416063,0.6687123,0.24971831
0.9118753,0.8082882,0.3160603
0.7344923,0.73185945,0.22157574
0.723888,0.68050075,0.25981694
0.6042941,0.60457927,0.27879333
0.47374734,0.51741064,0.31681627
0.8157997,0.787293,0.31806976
0.57602125,0.6093553,0.2850533
0.92456514,0.93063426,0.2529645
0.67189354,0.6285046,0.37824732
0.5944392,0.63917214,0.35173333
0.5126957,0.5955323,0.38689047
0.98969394,0.9445383,0.27266097
0.7188557,0.82355225,0.23052138
0.8092847,0.76017666,0.40933818
0.75013196,0.8770703,0.31324297
0.67082596,0.563099,0.3331383
0.69500047,0.7420819,0.34328502
0.7013795,0.6439636,0.29078603
0.54883796,0.54146105,0.30502558
0.55497944,0.5837089,0.20678943
0.7427608,0.8966342,0.28924626
0.7787055,0.87701654,0.2674154
0.5105788,0.54184496,0.3001117
0.73030293,0.7557374,0.3810519
0.5394786,0.5406686,0.29348016
0.7438099,0.8260431,0.27567583
0.7494949,0.710544,0.26724267
0.74074376,0.757534,0.26102877
0.7015036,0.80660367,0.21962279
0.6414037,0.7748317,0.22097433
0.8258481,0.9431352,0.3961751
0.9055278,0.885518,0.26331043
0.68276656,0.67113423,0.4339496
0.636607,0.6641474,0.39138925
0.53471255,0.6136058,0.23641545
0.5232413,0.5672719,0.32466805
0.75680226,0.8036798,0.27586627
0.60980606,0.6526364,0.2410242
0.8248925,0.8008134,0.34322262
0.6852798,0.6617752,0.295299
0.7159608,0.7800889,0.32462913
0.77086836,0.7523688,0.36650252
0.575032,0.61176544,0.33188492
0.68918484,0.72703964,0.35216415
0.45760718,0.47858703,0.4520293
0.80902535,0.75716305,0.24842203
0.4707534,0.49326152,0.4513104
0.52353305,0.50240666,0.40544093
0.87802136,0.81458956,0.18874437
0.74543,0.76686925,0.37066782
0.78041357,0.68711466,0.24040926
0.62810016,0.7853605,0.26598692
0.73904675,0.8002231,0.39640677
0.581217,0.6238146,0.2645536
0.7352824,0.76380616,0.22593647
1.0,0.9376348,0.2832718
0.7665475,0.8353019,0.4207173
0.64522773,0.72212505,0.37311107
0.70358735,0.71857846,0.3250463
0.7964574,0.8738812,0.4037137
0.89287037,0.8664971,0.3328737
0.72936815,0.69607604,0.327232
0.82054394,0.8391282,0.24793744
0.80854166,0.72581756,0.32073575
0.74920803,0.674548,0.22997433
0.96075445,0.92393136,0.29008597
0.64674836,0.70953363,0.24790776
0.97379,0.7941555,0.24976563
0.5426899,0.55934095,0.3204493
0.4776415,0.48964012,0.34591252
0.47649372,0.47698468,0.30525786
0.6161003,0.76125604,0.19165963
0.593404,0.64540184,0.3524983
0.7345447,0.6549364,0.27297288
1.0,0.9412151,0.2724225
0.5317638,0.50073177,0.29419005
0.6444261,0.6709202,0.4207877
0.49056512,0.5173909,0.41504896
0.739568,0.8486071,0.39324713
0.6066025,0.6566852,0.2989921
0.5274923,0.50170124,0.34324515
0.7482663,0.7845529,0.3172745
0.7081236,0.68418616,0.33065653
0.6674021,0.83603615,0.3801698
0.81529146,0.7909076,0.2568516
0.5046311,0.5736357,0.33286762
0.79616696,0.7820631,0.3325066
0.82290643,0.8015702,0.2528593
0.6187271,0.6612157,0.3420359
