A2A,A1,hERG
0.49220046,0.49453405,0.36911154
0.62004393,0.6697704,0.28144383
0.51011395,0.58511156,0.24904686
0.6593732,0.73095167,0.31506538
0.57027364,0.642352,0.36383504
0.6267239,0.7517238,0.29004174
0.6865674,0.6620503,0.39181137
0.54208124,0.74501806,0.27195752
0.47128823,0.48393485,0.31506062
0.6016911,0.67063653,0.2479068
0.7427808,0.7905217,0.2730171
0.5259914,0.51371956,0.26545757
0.5510143,0.6369358,0.30422622
0.8209877,0.7873294,0.33867073
0.75338614,0.65722066,0.341137
0.49587145,0.5068069,0.22647613
0.5867231,0.630023,0.20590562
0.6233452,0.6123385,0.22620487
0.6017582,0.6494642,0.25737524
0.4611932,0.54091245,0.33850825
0.5687287,0.67898774,0.3129421
0.6085348,0.59991705,0.2864045
0.4611258,0.49173602,0.29302782
0.47684526,0.52188116,0.3118055
0.59304404,0.6555378,0.35912943
0.54547715,0.62776697,0.36946052
0.6029114,0.6758738,0.41601515
0.59949976,0.63730496,0.3681854
0.6370585,0.72891176,0.31684113
0.5394386,0.49335268,0.17525429
0.46288067,0.4721337,0.40756863
0.6250058,0.6437254,0.3910184
0.62017685,0.65715396,0.23024255
0.6144261,0.66408694,0.35695833
0.62431854,0.58026844,0.32596815
0.6218392,0.63261294,0.29685414
0.5899914,0.6089282,0.22631681
0.68173134,0.64452636,0.25227582
0.51834625,0.7024659,0.31593412
0.62340677,0.62507004,0.26890868
0.48371026,0.4865195,0.33921504
0.71521884,0.7173954,0.30224782
0.49768925,0.5250982,0.1870923
0.4750871,0.48189244,0.38593346
0.5618147,0.58875656,0.24991679
0.47002348,0.5155094,0.3466977
0.49257553,0.48790842,0.22874403
0.6767701,0.7823982,0.31761044
0.9222121,0.77286834,0.36146057
0.46270716,0.46716163,0.31535864
0.47211647,0.50069416,0.30631793
0.82786834,0.74260294,0.2797832
0.9470258,0.7088472,0.3411178
0.49936283,0.49886525,0.20635659
0.63244665,0.6012996,0.28224516
0.4655962,0.50403506,0.25625408
0.58826524,0.64021355,0.34601796
0.6579297,0.6682173,0.35181582
0.5719535,0.6389064,0.2659396
0.56036174,0.5772767,0.20275778
0.46232548,0.46977323,0.42166102
0.98370075,0.90737104,0.26058495
0.7172741,0.7123094,0.29151493
0.5924396,0.60872793,0.27428055
0.58434504,0.53657293,0.29740745
0.7629016,0.7037782,0.26315534
0.7107915,0.7271362,0.33961272
0.62554437,0.65583783,0.28715825
0.8333914,0.7405954,0.34315318
0.6466577,0.727894,0.31190622
0.75838655,0.7036716,0.27240044
0.66575617,0.58730346,0.2823788
0.5737612,0.58267444,0.2693665
0.66182876,0.64408404,0.33266056
0.64615834,0.63291824,0.2889644
0.6842352,0.72813314,0.36010575
0.56101775,0.5434615,0.25811177
0.548819,0.6434279,0.26595938
0.46598038,0.4793449,0.31519496
0.7336397,0.72345567,0.28201973
0.49013522,0.52592325,0.26608735
0.47546235,0.53411055,0.37405163
0.63821334,0.6891451,0.38811028
0.47674108,0.5086303,0.39362192
0.6386576,0.55130106,0.42523783
0.91630346,0.74158865,0.35608703
0.69027096,0.8589978,0.3173802
0.62296313,0.72598815,0.35115004
0.4830646,0.5082971,0.29968476
0.5221953,0.5439456,0.2536614
0.4660898,0.49055642,0.3128367
0.5986891,0.68759096,0.2445609
0.5076377,0.5013677,0.31326956
0.54444873,0.5938859,0.21530253
0.46270397,0.4738433,0.3548451
0.6059697,0.6803576,0.20441508
0.57416105,0.57836753,0.42603314
0.5021441,0.588723,0.28008705
0.48225212,0.5197883,0.25596803
0.62838733,0.54727036,0.2897731
0.5623951,0.6023321,0.33039385
0.6046178,0.6211272,0.2746023
0.6282859,0.69687307,0.30899978
0.5327696,0.56419855,0.28902537
0.65375096,0.7423015,0.42555487
0.55282295,0.65142906,0.25064737
0.5206728,0.48804453,0.30766696
0.7231184,0.6680729,0.35725194
0.65436053,0.6462959,0.23929381
0.5061693,0.53445584,0.43662566
0.5990471,0.68442774,0.29881096
0.535408,0.74877095,0.36629975
0.47195396,0.4897582,0.32148755
0.46973124,0.46420348,0.24364203
0.72933066,0.7021113,0.28092355
0.61245185,0.69203275,0.2929021
0.55594784,0.6132644,0.42453384
0.56907064,0.6463248,0.26346046
0.67136717,0.7160777,0.22904658
0.5839815,0.6707474,0.4520253
0.6431235,0.6530519,0.28069264
0.5711369,0.5396387,0.26891792
0.517217,0.566876,0.28646868
0.5665771,0.67067903,0.30914426
0.72678965,0.6445946,0.33008844
0.68912756,0.74892855,0.3231535
0.6391584,0.69272804,0.32282948
0.45811138,0.47819668,0.3230083
0.67486995,0.6668623,0.379085
0.73525155,0.689282,0.23291928
0.4915235,0.5519432,0.26345646
0.4922282,0.61742693,0.30463856
0.46613702,0.4817403,0.20874101
0.72590566,0.55939996,0.3367772
0.6368644,0.7252238,0.27062827
0.7540687,0.6953963,0.3809979
0.5436708,0.5872717,0.17180759
0.61832446,0.6004497,0.36093718
0.5990192,0.6041428,0.2342478
0.5505767,0.6594566,0.34110808
0.46871075,0.4944438,0.353346
0.6854565,0.7124701,0.27657145
0.8789325,0.7142169,0.291425
0.6300798,0.64803916,0.3234678
0.59579635,0.6693903,0.35436386
0.57669604,0.6414747,0.25771844
0.57601,0.62894094,0.13943624
0.7539742,0.70592827,0.3067392
0.58521986,0.5943501,0.23258531
0.6120767,0.61273676,0.38249183
0.49579474,0.4987238,0.33621657
0.4599231,0.57620513,0.31314045
0.69494134,0.68396246,0.30360973
0.49361917,0.5589758,0.40261984
0.5736546,0.5451624,0.32978028
0.60844517,0.70352876,0.33688343
0.57196933,0.60943127,0.28613114
0.6061508,0.6976423,0.2855624
0.60516024,0.63418734,0.29109693
0.56725967,0.5564674,0.261824
0.58549285,0.5678839,0.2985198
0.499799,0.4901232,0.3668396
0.49194714,0.4984562,0.27755934
0.6458071,0.62399924,0.34082013
0.52877617,0.5943458,0.3712992
0.59914005,0.61060965,0.31944132
0.5654055,0.6525365,0.2829504
0.47496858,0.47025928,0.35600328
0.48954713,0.4805726,0.29655558
0.5132219,0.54803604,0.20080578
0.61370414,0.61890125,0.29841238
0.5506355,0.6220169,0.24359173
0.6181521,0.6832208,0.27298534
0.8827213,0.7427117,0.38325077
0.55522585,0.63564676,0.3021319
0.86060333,0.69788444,0.36253732
0.48276857,0.49377906,0.20439935
0.61137694,0.64908767,0.2802021
0.65423566,0.6734855,0.37694615
0.6550636,0.7312677,0.26426476
0.68347096,0.6951896,0.3143701
0.5033287,0.5252248,0.27908653
0.6763214,0.66993713,0.42129016
0.5904297,0.64891654,0.33570278
0.6523864,0.7086221,0.27545482
0.58918995,0.6382816,0.26238275
0.46471193,0.4661465,0.4446203
0.59187824,0.60500497,0.24175858
0.58585066,0.5643831,0.2963283
0.60539395,0.61144793,0.23527706
