smiles,pchembl_value,pred
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc2n(CC)c1=O,6.58,6.4422977849705925
CCCCC(CC)CNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.29,6.869455816837288
CC(C)C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.52,6.5451843517658705
CCCCn1c(/N=C/c2ccc(Cl)cc2)c(C#N)sc1=S,8.02,6.651555476913351
CN1CCN(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)CC1,7.0600000000000005,7.271387793481336
Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,8.973333333333334,7.313807564784019
CCCn1c(=O)c2[nH]c(-c3ccc(OC(C)C(=O)Nc4ccccc4)cc3)cc2n(CCC)c1=O,6.98,6.696542370365247
Nc1nn(-c2ccccc2)nc1C(=O)OCc1ccccc1,7.51,6.650070479869145
N#Cc1c(NC(=O)C2CCCC2)nc(-c2ccccc2)nc1-c1ccccc1,6.55,6.5780237545984575
Nc1nc(NCc2ccccc2)nc2sc(-c3ccco3)nc12,7.649999999999999,7.164866367603214
Cc1ccc(C(=O)c2nc(NC(C)c3ccccc3)nc3ccsc23)s1,5.97,6.49640848903727
CCNc1c2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)nn1C.Cl,7.505,7.034788109386666
Nc1nc(C(=O)NCc2cncc3ccccc23)c2cccc(F)c2n1,7.57,7.081453250781983
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(=O)OCC)cc4)cc3)cc2n(C)c1=O,5.58,6.722639942973725
CN1C[C@H](C(=O)N[C@@H](CCC2CCCCC2)C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N2CCC[C@H]2C(N)=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,4.48,6.759410003160231
CCCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,6.26,6.801990241026199
Cc1ccc(-c2nc(N(C)C)nc3ccsc23)nc1,7.72,6.6694204263404435
CCCN(CCCNC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1)CCc1cccc2c1CC(=O)N2.O=C(O)C(F)(F)F,7.745,7.040486601586551
Nc1c(C(=O)Nc2ccc([N+](=O)[O-])cc2)sc2nc3c(cc12)CCCC3,4.82,6.676624991013563
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(Br)c3)nc(Cl)nc21,5.8,6.091060777057776
C[C@@]1(O)[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,4.79,6.008420907129637
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)cc2n(CCC)c1=O,7.62,6.8339747453193604
Cc1cccnc1CNC(=O)c1cc(-c2cccc(F)c2)nc(N)n1,8.05,7.085475335710156
Nc1nc(N2CCCN(CCc3cccc4c3CC(=O)N4)CC2)nc2nc(-c3ccco3)nn12.O=C(O)C(F)(F)F,5.83,7.094790299973217
COc1c(F)cccc1-c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,8.52,7.186177061951186
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OC(C)(C)C(=O)N4CCN(c5ccccc5)CC4)cc3)cc21,6.25,6.617465997723926
Cc1cc(C)n(-c2nc(Nc3cnccn3)cc(N3CCc4ccccc4C3)n2)n1,8.96,6.995577205009652
CCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(Cc5ccc(C(F)(F)F)cc5)CC4)cc3)[nH]c2c1=O,7.64,6.700976225106414
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,7.16,6.669525347481298
CCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,7.08,6.827443941465871
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NCc4cccc(C(F)(F)F)c4)CC3)sc12.O=C(O)C(F)(F)F,6.55,6.776200693772542
Cc1ccc(Nc2nc(N(C)C)c(C(=O)Nc3sc4c(c3C(N)=O)CCCC4)s2)cc1,4.65,6.569924382790356
CCn1nnc(-c2sc(NC(=O)Cc3ccccc3)nc2-c2ccccc2)n1,6.34,6.704165553189881
CC(C)[C@H](Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21)C1CC1,5.44,5.909440158160923
CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)N1CCN(c2ccccc2Cl)CC1,6.13,6.5120437868276735
O=C(Cc1ccccc1)Nc1nc(-c2ccccc2)c(-c2ncon2)s1,6.15,6.631721150964441
C#CCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.7,6.890800879704167
c1csc(-c2nc(C3CC3)nc3ccsc23)n1,8.48,6.633840185058271
CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.140000000000001,6.64360984586674
CCCCn1c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc2n(C)c1=O,6.61,6.497375626473763
CCN(CC)C(=O)C1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1,7.4,7.019306532001888
N=C(N)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.36,7.619493049295345
CN1CCN(c2c3c(nc(N)n4nc(-c5ccco5)nc34)nn2C)CC1,6.81,7.343972587629522
COCCn1c(=O)c2c(nc(Cc3c(F)cccc3F)n2C)n(Cc2ccco2)c1=O,6.31,6.759111211960541
CCOC(=O)[C@@H]1Oc2ccc(CCCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2O1,8.26,7.449865340323868
Cc1ccc(S(=O)(=O)n2cc(CCOc3nc(NC(=N)N)c4ncn([C@@H]5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)c3ccccc32)cc1,6.46,6.490369787637558
CCCn1c(=O)c2nc([C@H]3CC[C@H](CO)CC3)[nH]c2n(CCC)c1=O,6.5,6.388257082498912
CSc1c2c(nc(NC(=O)Cc3ccc(CC(C)C)cc3)n3nc(-c4ccco4)nc23)nn1C,7.3,7.2001109279052224
CS(=O)(=O)c1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,6.11,7.263828945125712
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(CNC(=O)NCCN(C4CCCCC4)C(C)(C)C)nc32)[C@H](O)[C@@H]1O,7.48,6.700331441233181
