smiles,pchembl_value,pred
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc2n(CC)c1=O,6.58,6.355243630067251
CCCCC(CC)CNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.29,6.509645178799834
CC(C)C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.52,6.49023839980568
CCCCn1c(/N=C/c2ccc(Cl)cc2)c(C#N)sc1=S,8.02,8.398029999999999
CN1CCN(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)CC1,7.0600000000000005,7.185259040299186
Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,8.973333333333334,8.746128432311131
CCCn1c(=O)c2[nH]c(-c3ccc(OC(C)C(=O)Nc4ccccc4)cc3)cc2n(CCC)c1=O,6.98,7.005548258586339
Nc1nn(-c2ccccc2)nc1C(=O)OCc1ccccc1,7.51,7.130677193850881
N#Cc1c(NC(=O)C2CCCC2)nc(-c2ccccc2)nc1-c1ccccc1,6.55,6.717017001450894
Nc1nc(NCc2ccccc2)nc2sc(-c3ccco3)nc12,7.649999999999999,8.142930515859208
Cc1ccc(C(=O)c2nc(NC(C)c3ccccc3)nc3ccsc23)s1,5.97,6.046360667430214
CCNc1c2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)nn1C.Cl,7.505,7.112974204379426
Nc1nc(C(=O)NCc2cncc3ccccc23)c2cccc(F)c2n1,7.57,7.888992508117631
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(=O)OCC)cc4)cc3)cc2n(C)c1=O,5.58,6.274224483376912
CN1C[C@H](C(=O)N[C@@H](CCC2CCCCC2)C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N2CCC[C@H]2C(N)=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,4.48,4.481711981306576
CCCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,6.26,6.569576265127465
Cc1ccc(-c2nc(N(C)C)nc3ccsc23)nc1,7.72,7.31484686060399
CCCN(CCCNC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1)CCc1cccc2c1CC(=O)N2.O=C(O)C(F)(F)F,7.745,7.343389184347632
Nc1c(C(=O)Nc2ccc([N+](=O)[O-])cc2)sc2nc3c(cc12)CCCC3,4.82,5.641317189109576
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(Br)c3)nc(Cl)nc21,5.8,5.909462046194448
C[C@@]1(O)[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,4.79,5.04061467856001
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)cc2n(CCC)c1=O,7.62,7.087613223097727
Cc1cccnc1CNC(=O)c1cc(-c2cccc(F)c2)nc(N)n1,8.05,7.787692179108756
Nc1nc(N2CCCN(CCc3cccc4c3CC(=O)N4)CC2)nc2nc(-c3ccco3)nn12.O=C(O)C(F)(F)F,5.83,6.428910208466404
COc1c(F)cccc1-c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,8.52,8.484246319966573
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OC(C)(C)C(=O)N4CCN(c5ccccc5)CC4)cc3)cc21,6.25,6.361437755880718
Cc1cc(C)n(-c2nc(Nc3cnccn3)cc(N3CCc4ccccc4C3)n2)n1,8.96,8.19500509047017
CCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(Cc5ccc(C(F)(F)F)cc5)CC4)cc3)[nH]c2c1=O,7.64,7.037166355023686
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,7.16,6.7159192067165225
CCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,7.08,6.694658161951529
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NCc4cccc(C(F)(F)F)c4)CC3)sc12.O=C(O)C(F)(F)F,6.55,6.6870428654459975
Cc1ccc(Nc2nc(N(C)C)c(C(=O)Nc3sc4c(c3C(N)=O)CCCC4)s2)cc1,4.65,4.888148827153684
CCn1nnc(-c2sc(NC(=O)Cc3ccccc3)nc2-c2ccccc2)n1,6.34,6.50568581730597
CC(C)[C@H](Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21)C1CC1,5.44,5.528194085794741
CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)N1CCN(c2ccccc2Cl)CC1,6.13,6.228125782723427
O=C(Cc1ccccc1)Nc1nc(-c2ccccc2)c(-c2ncon2)s1,6.15,6.4339686782388235
C#CCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.7,6.821335627918236
c1csc(-c2nc(C3CC3)nc3ccsc23)n1,8.48,8.296291988732015
CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.140000000000001,6.8009554564270935
CCCCn1c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc2n(C)c1=O,6.61,6.414504912688469
CCN(CC)C(=O)C1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1,7.4,7.205606027546638
N=C(N)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.36,8.245605820390455
