smiles	token
CC(COc1ccc(C2=NNC(=O)C3CC23)cc1)CN1CCCC1C	C C ( C O c 1 c c c ( C 2 = N N C ( = O ) C 3 C C 2 3 ) c c 1 ) C N 1 C C C C 1 C
O=C(NCC(O)CO)c1cc2cccc(O)c2oc1=O	O = C ( N C C ( O ) C O ) c 1 c c 2 c c c c ( O ) c 2 o c 1 = O
COCCOCC#Cc1cc(-c2n[nH]c3c2Cc2ccc(CN4CCN(C)CC4)cc2-3)cs1	C O C C O C C # C c 1 c c ( - c 2 n [nH] c 3 c 2 C c 2 c c c ( C N 4 C C N ( C ) C C 4 ) c c 2 - 3 ) c s 1
Cn1cc2c(nc(NCCCNC(=S)Nc3ccc(-c4c5ccc(=O)cc-5oc5cc(O)ccc45)c(C(=O)O)c3)n3nc(-c4ccco4)nc23)n1	C n 1 c c 2 c ( n c ( N C C C N C ( = S ) N c 3 c c c ( - c 4 c 5 c c c ( = O ) c c - 5 o c 5 c c ( O ) c c c 4 5 ) c ( C ( = O ) O ) c 3 ) n 3 n c ( - c 4 c c c o 4 ) n c 2 3 ) n 1
Cc1ncc(C)c(C(=O)N2CCC(C(N)Cc3cc(F)c(F)cc3F)CC2)n1	C c 1 n c c ( C ) c ( C ( = O ) N 2 C C C ( C ( N ) C c 3 c c ( F ) c ( F ) c c 3 F ) C C 2 ) n 1
O=S(=O)(NCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(F)c1	O = S ( = O ) ( N C C N 1 C C = C ( c 2 c [nH] c 3 c c c ( L ) c c 2 3 ) C C 1 ) c 1 c c c c ( F ) c 1
Cc1nc(C(=O)NCc2ccccn2)cc(-c2ccc(C)o2)n1	C c 1 n c ( C ( = O ) N C c 2 c c c c n 2 ) c c ( - c 2 c c c ( C ) o 2 ) n 1
CC(C)C1(C(=O)N2CC3CC2CN3C(=O)C2CCCC2)CCC(NC2CCOCC2F)C1	C C ( C ) C 1 ( C ( = O ) N 2 C C 3 C C 2 C N 3 C ( = O ) C 2 C C C C 2 ) C C C ( N C 2 C C O C C 2 F ) C 1
COCCCN1CC2C(CNC(=O)c3nc(C(C)C)n4ccccc34)C2C1	C O C C C N 1 C C 2 C ( C N C ( = O ) c 3 n c ( C ( C ) C ) n 4 c c c c c 3 4 ) C 2 C 1
COc1ccc2c(-n3cnc(C)c3)nc(C#N)c(-c3cccc(F)c3)c2c1	C O c 1 c c c 2 c ( - n 3 c n c ( C ) c 3 ) n c ( C # N ) c ( - c 3 c c c c ( F ) c 3 ) c 2 c 1
Cc1cc(C(N)=O)nn1-c1ccc(F)c(-c2ccccc2OC(F)(F)F)c1	C c 1 c c ( C ( N ) = O ) n n 1 - c 1 c c c ( F ) c ( - c 2 c c c c c 2 O C ( F ) ( F ) F ) c 1
CN(CCN1CCN(c2ccc3c(c2)OCO3)C1=O)CC12CCC(CC1)C2(C)C	C N ( C C N 1 C C N ( c 2 c c c 3 c ( c 2 ) O C O 3 ) C 1 = O ) C C 1 2 C C C ( C C 1 ) C 2 ( C ) C
COc1ncc(-c2cccc3c2CC(NC(=O)c2ccc(OCCC(F)(F)F)nc2)CO3)cn1	C O c 1 n c c ( - c 2 c c c c 3 c 2 C C ( N C ( = O ) c 2 c c c ( O C C C ( F ) ( F ) F ) n c 2 ) C O 3 ) c n 1
COc1ccc(N2CCC3(CCN(CC(O)c4ccc5c(c4C)COC5=O)CC3)C2)cn1	C O c 1 c c c ( N 2 C C C 3 ( C C N ( C C ( O ) c 4 c c c 5 c ( c 4 C ) C O C 5 = O ) C C 3 ) C 2 ) c n 1
COc1ccc(NC(=O)N2CCN(c3nc(N)nc4sc(-c5ccccc5)nc34)CC2)cc1	C O c 1 c c c ( N C ( = O ) N 2 C C N ( c 3 n c ( N ) n c 4 s c ( - c 5 c c c c c 5 ) n c 3 4 ) C C 2 ) c c 1
