smiles,A2A,A1,hERG,RAScore
CNC(=O)C1=CC(CSC2=NC(N)=C(C#N)C(C3=CC=C(OCCO)C=C3)=C2F)=CC=N1,0.7110711,1.0,0.33959955,0.9999602
NC1=NC2=C(Cl)N=CN=C2C3=NC(C4=CC=CO4)=NN13,0.918151,0.9308176,0.4327029,0.99892384
CN1C=C2C(N=C(N)N3N=C(C4=CC=CO4)N=C23)=N1,0.94385797,0.78170145,0.43481374,0.9999201
C#CCN1C(C2=CC=CO2)=NC3=C(N)N=CN=C31,0.90228933,0.79086846,0.4380079,0.9996668
CCN1N=CC2=C1N=C(N)N3N=C(C4=CC=CO4)N=C23,0.92300004,0.7472696,0.43762183,0.9998839
NC1=NC=C(C2=CC=C(O)C=C2)C(C3=CC=CC=C3)=N1,0.95146674,0.9514558,0.37316728,0.99999976
NC1=NC=NC2=C1N=C(C3=CC=CO3)N2CCO,0.85678947,0.8324279,0.44745046,0.9979418
N#CC1=C(N)N=C(SCC2=CSC(N)=N2)C(C#N)=C1C3=CC=C(O)C=C3,0.7612343,0.9791831,0.32687926,0.9999194
CCNC(=O)C1OC(N2C=NC3=C(NCC)N=C(C#CC(O)C4=CC=C(N(C)C)C=C4)N=C32)C(O)C1O,0.7004488,0.9824881,0.38777435,0.995346
NC1=NC(N2C=CC=N2)=NC(N3N=CC=N3)=C1Br,0.87025374,0.6709681,0.44894034,0.9998784
CN1C(=O)C=2[NH1]C(C3=CC=C(OCCN4CCCC4)C=C3)=NC=2N(C)C1=O,1.0,0.97046316,0.3606593,0.999897
CCOC(=O)N1CCN(C(=O)C(CCC(=O)O)NC(=O)C2=CC(C3=CC=CC=C3)=NC(C4=CC=CC=C4)=N2)CC1,0.60241777,0.72345936,0.45714235,0.9999701
N#CC1=C(N)N=C(SCC2=CC=NC(C(=O)NC3CC3)=C2)C(C#N)=C1C4=CC=C(O)C=C4,0.7087789,1.0,0.3484741,0.9999628
CNC(=O)C1=CC(CSC2=NC(N)=C(C#N)C(C3=CC=C(F)C(F)=C3)=C2C#N)=CC=N1,0.71259356,1.0,0.32988012,0.9947061
NC1=NC(C2=CC=CC=C2)=C3C(=N1)C4=CC(CC5=CC=CN=C5)=CC=C4C3=O,1.0,0.9870767,0.2597673,0.9999591
NC1=NC(C2=CC=CO2)=C3N=NN(CC4=CC=CO4)C3=N1,0.9187269,0.7969794,0.43287158,0.9903398
