smiles,A2A,A1,hERG,RAScore
Nc1cc(P(=O)(O)O)nc(C(=O)[O-])c1-c1ccc(-c2ncncc2C(=O)NO)cc1,0.8540398,0.8694538,0.4083869,0.9965275
CN(C)C(=O)NNC(=O)c1nc(N)c(C#N)c(C#N)n1,0.83638024,0.5856358,0.438959,0.9999862
N#Cc1cc(-n2cnc3cncnc32)c(-c2c(N)nc(N)nc2C#N)c(-c2nccs2)n1,0.9212757,0.88442135,0.37875897,0.99998343
Cc1nc(C(=O)NS(N)(=O)=O)nc(-n2cccn2)c1-c1cnn(-n2cnc3c(C=O)ncnc32)c1,0.6002311,0.92781097,0.41460854,0.99921227
N#Cc1c(N)nc(-c2nc(S(N)(=O)=O)cs2)nc1F,0.66467243,0.66599715,0.4491399,0.99389017
Nc1cncnc1-c1cc(-c2cccnc2)nc(I)c1-c1cc[nH]c(=O)n1,0.7147088,0.9660583,0.35117376,0.99894613
N#Cc1csc(-c2nc(C#N)nc(N)c2N)n1,0.71181685,0.54819214,0.4504714,0.99951315
Nc1ccnc(-c2ccn[nH]2)c1-c1cnc(F)nc1N,0.7652885,0.91698945,0.43947893,0.99880457
Nc1ccccc1-c1c(-c2cncnc2)cccc1-c1ncc(C[NH3+])cn1,0.91587836,0.91739106,0.33891475,0.9999317
N#Cc1nc(F)cc(-c2c(-c3cccnc3)cc(I)nc2-c2ccccc2)c1F,0.756572,0.9749736,0.2879302,0.99992406
CNC(=O)c1c(-c2c(-c3cncnc3)cccc2-c2ccncn2)ccc(-n2cccn2)c1[SH](=O)=O,0.79855335,0.94596505,0.3414424,0.9999999
Nc1c(-c2c(-c3cncnc3)ccnc2-n2cnc3cncnc32)ccnc1-n1cccn1,0.9227526,0.8895745,0.36434513,0.9996742
CC(=O)NCl,0.45340908,0.46761394,0.46067977,1.0
Nc1ncc(-c2ccncn2)c(-c2cscn2)n1,0.773262,0.6846709,0.4371196,0.9999995
Nc1nccc(C[NH3+])c1-c1ncncc1P(=O)(O)O,0.5697963,0.7781023,0.45297736,0.99976724
CC(=O)Nc1nc(C#N)cc(-c2ccccc2)c1-c1ccnc(-c2ccncn2)c1-c1ccncn1,0.6814162,0.98033947,0.27994382,0.99999845
