,number,value,datetime_start,datetime_complete,params_activation_1,params_activation_10,params_activation_2,params_activation_3,params_activation_4,params_activation_5,params_activation_6,params_activation_7,params_activation_8,params_activation_9,params_dropout_10,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_dropout_6,params_dropout_7,params_dropout_8,params_dropout_9,params_layer_1,params_learning_rate,params_num_layers,params_units_10,params_units_2,params_units_3,params_units_4,params_units_5,params_units_6,params_units_7,params_units_8,params_units_9,state
0,0,0.9029194116592407,2020-06-18 16:12:08.619778,2020-06-18 16:15:37.771247,linear,,linear,selu,,,,,,,,0.4495244974175988,0.4984534191041931,,,,,,,128,0.0009822452014154465,3,,128,128.0,,,,,,,COMPLETE
1,1,0.5,2020-06-18 16:15:37.772469,2020-06-18 16:19:32.768406,elu,,selu,linear,elu,linear,selu,,,,,0.041182537772408434,0.16968701058139424,0.2739789712341803,0.19558246454883566,0.23424832916902005,,,,128,0.01134302110365763,6,,128,128.0,256.0,512.0,128.0,,,,COMPLETE
2,2,0.9264072179794312,2020-06-18 16:19:32.770034,2020-06-18 16:23:43.825315,selu,,elu,linear,relu,elu,relu,selu,linear,,,0.19661549621548802,0.35762348793769727,0.14414937492249813,0.32844866500272374,0.4629099334854563,0.030871591508958462,0.4627428381333117,,256,3.4476548283281894e-05,8,,128,128.0,128.0,512.0,128.0,256.0,256.0,,COMPLETE
3,3,0.5,2020-06-18 16:23:43.827564,2020-06-18 16:27:14.220397,elu,,relu,relu,,,,,,,,0.4240718752056938,0.47024189314893505,,,,,,,256,0.04773947348168329,3,,128,128.0,,,,,,,COMPLETE
4,4,0.5,2020-06-18 16:27:14.222632,2020-06-18 16:31:32.084166,selu,,relu,relu,relu,linear,selu,relu,selu,linear,,0.2892253371731578,0.015428468453174471,0.08554222633299258,0.02247260038497645,0.46076940338109734,0.3412056949809822,0.24997529182264622,0.3144176937849551,256,0.02518638705095379,9,,128,256.0,512.0,128.0,512.0,256.0,128.0,128.0,COMPLETE
5,5,0.8768347501754761,2020-06-18 16:31:32.087110,2020-06-18 16:35:18.030249,relu,,elu,elu,elu,linear,,,,,,0.2943106252009471,0.15875233990518411,0.20875039166800308,0.03822224329219548,,,,,128,0.0023402704976131254,5,,128,512.0,128.0,512.0,,,,,COMPLETE
6,6,0.5,2020-06-18 16:35:18.033347,2020-06-18 16:39:45.180602,linear,relu,elu,relu,elu,linear,linear,selu,linear,linear,0.3530022303849756,0.03731155870543129,0.1903162693415576,0.4225398692001305,0.24011778795741906,0.45613502125155114,0.49241191291052094,0.4778413689215191,0.2099157612064692,512,0.006170594616461496,10,128.0,128,512.0,512.0,256.0,128.0,512.0,512.0,256.0,COMPLETE
7,7,0.8980129957199097,2020-06-18 16:39:45.184398,2020-06-18 16:43:05.929586,relu,,linear,,,,,,,,,0.14755743265072213,,,,,,,,256,4.3712153349462195e-05,2,,256,,,,,,,,COMPLETE
8,8,0.8955065608024597,2020-06-18 16:43:05.933113,2020-06-18 16:47:19.876238,selu,,selu,linear,selu,selu,relu,linear,selu,,,0.4472492363503546,0.2168452839333322,0.19771243869930677,0.425405550534949,0.0721462622826255,0.31803275232326134,0.44545745689102223,,512,0.00022177565480642968,8,,512,512.0,256.0,256.0,256.0,128.0,512.0,,COMPLETE
9,9,0.9252305030822754,2020-06-18 16:47:19.880131,2020-06-18 16:51:33.096593,linear,,relu,elu,elu,elu,relu,relu,relu,,,0.2666551806535719,0.07742338442967578,0.4993080062291842,0.14446595206383372,0.4762509335964738,0.20996004422094622,0.02133367811417619,,512,0.0006220198959047984,8,,128,128.0,512.0,128.0,128.0,128.0,256.0,,COMPLETE
