smiles,A2A,A1,hERG,RAScore
N#Cc1c(N)nc(-c2nc(S(N)(=O)=O)cs2)nc1F,0.66467243,0.66599715,0.4491399,0.99389017
NC(=O)c1cnc(-c2ccc(-c3cncnc3)c(-c3cncnc3N)c2-c2nccs2)nc1,0.8871047,0.9172139,0.34153432,0.9884671
Fc1cc(-c2nc(-c3ccncn3)cs2)c(-c2cncnc2C(F)(F)F)c(-c2ccccn2)n1,0.83367056,0.9540556,0.26701677,0.9999999
N=C(N)c1csc(N)n1,0.4877119,0.47041392,0.4593581,0.999995
O=P([O-])(O)I,0.45375568,0.4660436,0.46055675,0.99996805
O=P([O-])(O)F,0.45340908,0.4645244,0.46081084,0.99996805
Nc1nccc(C[NH3+])c1-c1ncncc1P(=O)(O)O,0.5697963,0.7781023,0.45297736,0.99976724
N#Cc1cc(-c2cccnc2)c(-c2ccnc(-c3cccnc3)c2)c(N)n1,0.7610078,0.9813406,0.27898562,0.9999987
N#Cc1c(-c2c(C=O)ccnc2N)ccnc1N,0.5936097,0.8943697,0.44127524,0.9998807
CNC(=O)c1csc(-c2c([SH](=O)=O)nc([SH](=O)=O)c(C#N)c2-c2ccccc2)n1,0.6761785,0.95783895,0.3747753,0.9999988
N#Cc1c(CNC(=O)c2cnc(-c3ccc[nH+]c3)nc2-c2ccncn2)cccc1-c1cc[nH]c1,0.6595244,0.99937534,0.32863933,0.23786378
N=Cc1nc(F)c(-n2cnc3c(C(=O)[O-])ncnc32)c(F)n1,0.6309644,0.6802621,0.44910425,0.89603645
CC(=O)Nc1nc(C#N)cc(-c2ccnc(-n3cccn3)c2)c1-c1nccs1,0.7674852,0.9729177,0.31334323,0.99845266
NNCc1ccnc(N)c1-c1nc([PH](=O)[O-])ncc1N,0.67570704,0.79467964,0.44407296,0.0043146447
Nc1ccnc(-c2ccnc(P(=O)(O)O)c2)c1-c1cc[nH]n1,0.6970569,0.94984716,0.41440868,0.99955064
CC(=O)Nc1nc(C#N)cc(-c2ccccc2)c1-c1ccnc(-c2ccncn2)c1-c1ccncn1,0.6814162,0.98033947,0.27994382,0.99999845
N#Cc1c(-c2nccs2)ccc(-c2nc(-c3ccncn3)ncc2C(N)=O)c1-c1cncnc1,0.72155374,0.96244186,0.34163827,0.99802977
[NH3+]Cc1cccc2ccccc12,0.47590482,0.47971436,0.4573205,0.99999964
Nc1nc(F)c(N)c(-c2ccc(F)c(-n3cccn3)c2-c2ncccn2)n1,0.77469456,0.9615404,0.35710895,0.99352455
N#Cc1cc(-n2cnc3cncnc32)c(-c2c(N)nc(N)nc2C#N)c(-c2nccs2)n1,0.9212757,0.88442135,0.37875897,0.99998343
CC(=O)N[n+]1cccc(-c2nc(N)c(C#N)c(-n3cnc4c(C(N)=O)ncnc43)c2-c2ccn[nH]2)c1,0.7101071,0.95103925,0.39391792,0.030851737
N#Cc1nc(F)cc(-c2cnc(N)nc2-c2nccs2)c1-c1ncccn1,0.8047822,0.92668927,0.33997828,0.9999989
Nc1nccc(-c2ccc[nH+]c2)c1-c1c(O)ccnc1-c1nc(-c2ccc[nH+]c2)cs1,0.92636484,0.9094089,0.3004244,0.106975384
Nc1nc(F)c(-n2cnc3c(F)ncnc32)c(-c2cn[nH]c2)n1,0.7184736,0.70658267,0.44330132,0.9999975
N#Cc1ncc(-c2cnc(N)nc2O)c(-n2cccn2)n1,0.6931823,0.67580307,0.44445068,0.85504806
Nc1cncnc1-c1cc(-c2cccnc2)nc(I)c1-c1cc[nH]c(=O)n1,0.7147088,0.9660583,0.35117376,0.99894613
C[SH+]c1nc(C#N)nc(CS)c1-c1cncnc1N,0.8650597,0.75597477,0.4254601,0.98531055
